build,computer.platform,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,expressions.trialcount,parameters.digitpresentationtime,parameters.maskpresentationtime,values.trialtype,values.digit,values.fontsize,response,correct,values.RT,latency,values.latencytype,values.responsetype,values.count_anticipatory,values.correctsuppressions,values.count_NoGo,values.incorrectsuppressions,values.count_Go,values.count_validGo,values.dostim,values.amp,values.order
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,72,72,25,90,go,1,19ptc,0,0,0,0,0,Omission,2,4,8,30,64,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,73,73,25,90,go,7,16ptc,0,0,0,0,0,Omission,2,4,8,31,65,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,74,74,25,90,go,7,21ptc,0,0,0,0,0,Omission,2,4,8,32,66,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,75,75,25,90,go,6,13ptc,0,0,0,0,0,Omission,2,4,8,33,67,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,76,76,25,90,go,5,10ptc,0,0,0,0,0,Omission,2,4,8,34,68,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,77,77,25,90,go,2,21ptc,0,0,0,0,0,Omission,2,4,8,35,69,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,78,78,25,90,go,4,16ptc,0,0,0,0,0,Omission,2,4,8,36,70,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,79,79,25,90,go,7,19ptc,0,0,0,0,0,Omission,2,4,8,37,71,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,80,80,25,90,go,9,13ptc,0,0,0,0,0,Omission,2,4,8,38,72,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,81,81,25,90,go,4,10ptc,0,0,0,0,0,Omission,2,4,8,39,73,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,82,82,25,90,go,7,19ptc,0,0,0,0,0,Omission,2,4,8,40,74,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,83,83,25,90,go,8,21ptc,0,0,0,0,0,Omission,2,4,8,41,75,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,84,84,25,90,nogo,3,16ptc,0,1,0,0,0,NoGo Success,2,5,9,41,75,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,85,85,25,90,go,9,13ptc,0,0,0,0,0,Omission,2,5,9,42,76,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,86,86,25,90,go,5,19ptc,0,0,0,0,0,Omission,2,5,9,43,77,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,87,87,25,90,go,4,13ptc,0,0,0,0,0,Omission,2,5,9,44,78,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,88,88,25,90,go,1,10ptc,0,0,0,0,0,Omission,2,5,9,45,79,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,89,89,25,90,go,8,16ptc,0,0,0,0,0,Omission,2,5,9,46,80,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,90,90,25,90,go,1,21ptc,0,0,0,0,0,Omission,2,5,9,47,81,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,91,91,25,90,go,8,10ptc,0,0,0,0,0,Omission,2,5,9,48,82,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,92,92,25,90,go,8,21ptc,0,0,0,0,0,Omission,2,5,9,49,83,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,93,93,25,90,go,5,16ptc,0,0,0,0,0,Omission,2,5,9,50,84,29,1.0,1,AABB
